The Cinderella City Project,
Collaborative Asset Tracking,
,
,
Collaborator Overview,
"Parts of this sheet are auto-generated, and used for exporting to .csv for the Cinderella City Project credits screen.",
,
Credit,Names
,
Created By,Joshua Goldstein
,
Signage + Graphics,"Aaron Deneau, American Retro Apparel, George Hetzer, Haley Goldstein, J. Stephen Allen, Jennifer McMahon, Joshua Goldstein, Katie Neece, Lindsey Runyan, Melanie Thomason, Ryan Brotherston, "
,
Music,"BDalton, Betamaxx, Dead Mall, FWIENZY, Side Thing, "
,
Photographs,"Aaron Wallace, Angela Lewis, Betty Lo, Cathy Hoffman, City of Englewood, Dama Mancuso, Dave Crump, Denise Wehrer, Denver Public Library, Devin Blackwood, Ed Piz, Englewood Chamber of Commerce, Englewood Public Library, Gerri Lu Von Frellick, Jessica Anshutz, Karl Huizenga, Leda Thaler, Lisa Meeks, Mariko Wilcox, Mark Morris, Michael Lauter, Nathan Elinhoff, Roger Baldwin, Ron Pollard, Scott Myers, Shawn Shaffer, Submitted by, Susan Peppel, "
,
Interviews + Memories,"Aaron Deneau, "
,
Unity Assets + 3D Models,"400M Creations, Aaron Deneau, AGLOBEX-Mobile, Alessandro 'Neatwolf' Salvati, Andre Staubmeier, Glasswork, StarsProducts, Thorsten Ames, Unity Asset Store - IL.RANCH, "
